bbcid,system,summary,hallucination_type,hallucinated_span,hallucinated_span_start,hallucinated_span_end,worker_id
34687720,BERTS2S,rory mcilroy will take a one-shot lead into the final round of the wgc-hsbc champions after carding a three-under,extrinsic,rory mcilroy will take a one-shot lead into the final round of the wgc-hsbc champions after carding a three-under,1,114,wid_0
34687720,BERTS2S,rory mcilroy will take a one-shot lead into the final round of the wgc-hsbc champions after carding a three-under,extrinsic,rory mcilroy will take a one-shot lead into the final round of the wgc-hsbc champions after carding a three-under,1,114,wid_1
34687720,BERTS2S,rory mcilroy will take a one-shot lead into the final round of the wgc-hsbc champions after carding a three-under,extrinsic,the final round of the wgc-hsbc champions,45,86,wid_2
21267591,BERTS2S,the leader of bahrain\'s main opposition party has said there needs to be dialogue between the kingdom\'s crown prince and government.,NULL,NULL,-1,-1,wid_0
21267591,BERTS2S,the leader of bahrain\'s main opposition party has said there needs to be dialogue between the kingdom\'s crown prince and government.,NULL,NULL,-1,-1,wid_1
21267591,BERTS2S,the leader of bahrain\'s main opposition party has said there needs to be dialogue between the kingdom\'s crown prince and government.,extrinsic,bahrain\'s,15,24,wid_2
21267591,BERTS2S,the leader of bahrain\'s main opposition party has said there needs to be dialogue between the kingdom\'s crown prince and government.,intrinsic,needs to be dialogue,62,82,wid_2
29347895,BERTS2S,veteran classical music conductor christopher hogwood has died at the age of 83.,extrinsic,veteran classical,1,18,wid_0
29347895,BERTS2S,veteran classical music conductor christopher hogwood has died at the age of 83.,extrinsic,at the age of 83,64,80,wid_0
29347895,BERTS2S,veteran classical music conductor christopher hogwood has died at the age of 83.,intrinsic,classical,9,18,wid_1
29347895,BERTS2S,veteran classical music conductor christopher hogwood has died at the age of 83.,extrinsic,age of 83,71,80,wid_1
29347895,BERTS2S,veteran classical music conductor christopher hogwood has died at the age of 83.,intrinsic,classical,9,18,wid_2
29347895,BERTS2S,veteran classical music conductor christopher hogwood has died at the age of 83.,extrinsic,age of 83,71,80,wid_2
37618111,BERTS2S,the number of homicides recorded by police in scotland has fallen to its lowest level since 2009.,extrinsic,2009,93,97,wid_0
37618111,BERTS2S,the number of homicides recorded by police in scotland has fallen to its lowest level since 2009.,extrinsic,2009,93,97,wid_1
37618111,BERTS2S,the number of homicides recorded by police in scotland has fallen to its lowest level since 2009.,extrinsic,2009,93,97,wid_2
37895159,BERTS2S,"bournemouth manager eddie howe says his side are "" struggling "" after losing 2-0 to hull on saturday.",extrinsic,manager eddie,13,26,wid_0
37895159,BERTS2S,"bournemouth manager eddie howe says his side are "" struggling "" after losing 2-0 to hull on saturday.",extrinsic,"side are "" struggling "" after losing 2-0",41,81,wid_0
37895159,BERTS2S,"bournemouth manager eddie howe says his side are "" struggling "" after losing 2-0 to hull on saturday.",extrinsic,manager eddie,13,26,wid_1
37895159,BERTS2S,"bournemouth manager eddie howe says his side are "" struggling "" after losing 2-0 to hull on saturday.",extrinsic,"side are "" struggling "" after losing 2-0",41,81,wid_1
37895159,BERTS2S,"bournemouth manager eddie howe says his side are "" struggling "" after losing 2-0 to hull on saturday.",extrinsic,manager eddie,13,26,wid_2
37895159,BERTS2S,"bournemouth manager eddie howe says his side are "" struggling "" after losing 2-0 to hull on saturday.",extrinsic,"struggling "" after losing 2-0 to hull",52,89,wid_2
34148931,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",extrinsic,prime minister tony,13,32,wid_0
34148931,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",extrinsic,no regrets,67,77,wid_0
34148931,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",extrinsic,prime minister tony,13,32,wid_1
34148931,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",extrinsic,no regrets,67,77,wid_1
